z	zfir	zmaf
-0.970000	-0.194000	-0.083562
-0.970000	-0.194000	-0.083562
-0.966500	-0.387250	-0.166937
-0.966500	-0.387250	-0.166937
-0.966500	-0.387250	-0.166937
-0.976187	-0.582500	-0.251063
-0.976187	-0.582500	-0.251063
-0.976187	-0.582500	-0.251063
-0.971250	-0.776750	-0.334813
-0.971250	-0.776750	-0.334813
-0.971250	-0.776750	-0.334813
-0.971750	-0.971125	-0.418563
-0.971750	-0.971125	-0.418563
-0.971750	-0.971125	-0.418563
-0.967562	-0.970625	-0.502000
-0.967562	-0.970625	-0.502000
-0.967562	-0.970625	-0.502000
-0.961938	-0.969688	-0.584875
-0.961938	-0.969688	-0.584875
-0.961938	-0.969688	-0.584875
-0.977750	-0.970000	-0.669188
-0.977750	-0.970000	-0.669188
-0.977750	-0.970000	-0.669188
-0.969063	-0.969562	-0.752750
-0.969063	-0.969562	-0.752750
-0.969063	-0.969562	-0.752750
-0.969000	-0.969063	-0.836250
-0.969000	-0.969063	-0.836250
-0.969000	-0.969063	-0.836250
-0.976812	-0.970875	-0.903750
-0.976812	-0.970875	-0.903750
-0.976812	-0.970875	-0.903750
-0.960250	-0.970562	-0.969875
-0.960250	-0.970562	-0.969875
-0.960250	-0.970562	-0.969875
-0.963313	-0.967688	-0.969187
-0.963313	-0.967688	-0.969187
-0.963313	-0.967688	-0.969187
-0.969562	-0.967750	-0.969375
-0.969562	-0.967750	-0.969375
-0.969562	-0.967750	-0.969375
-0.978812	-0.969750	-0.969688
-0.978812	-0.969750	-0.969688
-0.978812	-0.969750	-0.969688
-0.971562	-0.968688	-0.969750
-0.971562	-0.968688	-0.969750
-0.971562	-0.968688	-0.969750
-0.971313	-0.970875	-0.969875
-0.971313	-0.970875	-0.969875
-0.971313	-0.970875	-0.969875
-0.971562	-0.972562	-0.970063
-0.971562	-0.972562	-0.970063
-0.971562	-0.972562	-0.970063
-0.970812	-0.972812	-0.970688
-0.970812	-0.972812	-0.970688
-0.970812	-0.972812	-0.970688
-0.969562	-0.970938	-0.970125
-0.969562	-0.970938	-0.970125
-0.969562	-0.970938	-0.970125
-0.974562	-0.971562	-0.970500
-0.974562	-0.971562	-0.970500
-0.974562	-0.971562	-0.970500
-0.964063	-0.970063	-0.970187
-0.964063	-0.970063	-0.970187
-0.964063	-0.970063	-0.970187
-0.964063	-0.968562	-0.969313
-0.964063	-0.968562	-0.969313
-0.964063	-0.968562	-0.969313
-0.968625	-0.968125	-0.969875
-0.968625	-0.968125	-0.969875
-0.968625	-0.968125	-0.969875
-0.970562	-0.968375	-0.970250
-0.970562	-0.968375	-0.970250
-0.970562	-0.968375	-0.970250
-0.965063	-0.966437	-0.969812
-0.965063	-0.966437	-0.969812
-0.965063	-0.966437	-0.969812
-0.965250	-0.966688	-0.968812
-0.965250	-0.966688	-0.968812
-0.965250	-0.966688	-0.968812
-0.972500	-0.968375	-0.968875
-0.972500	-0.968375	-0.968875
-0.972500	-0.968375	-0.968875
-0.974313	-0.969500	-0.969125
-0.974313	-0.969500	-0.969125
-0.974313	-0.969500	-0.969125
-0.969063	-0.969187	-0.968938
-0.969063	-0.969187	-0.968938
-0.969063	-0.969187	-0.968938
-0.975562	-0.971313	-0.969313
-0.975562	-0.971313	-0.969313
-0.975562	-0.971313	-0.969313
-0.964750	-0.971187	-0.969000
-0.964750	-0.971187	-0.969000
-0.964750	-0.971187	-0.969000
-0.967313	-0.970187	-0.968562
-0.967313	-0.970187	-0.968562
-0.967313	-0.970187	-0.968562
-0.967812	-0.968875	-0.968812
-0.967812	-0.968875	-0.968812
-0.967812	-0.968875	-0.968812
-0.970063	-0.969063	-0.969187
-0.970063	-0.969063	-0.969187
-0.970063	-0.969063	-0.969187
-0.968625	-0.967688	-0.969250
-0.968625	-0.967688	-0.969250
-0.968625	-0.967688	-0.969250
-0.970250	-0.968812	-0.969313
-0.970250	-0.968812	-0.969313
-0.970250	-0.968812	-0.969313
-0.965000	-0.968313	-0.969187
-0.965000	-0.968313	-0.969187
-0.965000	-0.968313	-0.969187
-0.965938	-0.967938	-0.969063
-0.965938	-0.967938	-0.969063
-0.965938	-0.967938	-0.969063
-0.966625	-0.967250	-0.968625
-0.966625	-0.967250	-0.968625
-0.966625	-0.967250	-0.968625
-0.971063	-0.967750	-0.968313
-0.971063	-0.967750	-0.968313
-0.971063	-0.967750	-0.968313
-0.963375	-0.966375	-0.967938
-0.963375	-0.966375	-0.967938
-0.963375	-0.966375	-0.967938
-0.972875	-0.967938	-0.967812
-0.972875	-0.967938	-0.967812
-0.972875	-0.967938	-0.967812
-0.962250	-0.967187	-0.967562
-0.962250	-0.967187	-0.967562
-0.962250	-0.967187	-0.967562
-0.967250	-0.967313	-0.967500
-0.967250	-0.967313	-0.967500
-0.967250	-0.967313	-0.967500
-0.971250	-0.967375	-0.967812
-0.971250	-0.967375	-0.967812
