z	zmaf	zfir
-0.948187	-0.189625	-0.081687
-0.948187	-0.189625	-0.081687
-0.962063	-0.382000	-0.164625
-0.962063	-0.382000	-0.164625
-0.962063	-0.382000	-0.164625
-0.970063	-0.576063	-0.248250
-0.970063	-0.576063	-0.248250
-0.970063	-0.576063	-0.248250
-0.964187	-0.768875	-0.331375
-0.964187	-0.768875	-0.331375
-0.964187	-0.768875	-0.331375
-0.961000	-0.961063	-0.414250
-0.961000	-0.961063	-0.414250
-0.961000	-0.961063	-0.414250
-0.931813	-0.957812	-0.494563
-0.931813	-0.957812	-0.494563
-0.931813	-0.957812	-0.494563
-1.001875	-0.965750	-0.580937
-1.001875	-0.965750	-0.580937
-1.001875	-0.965750	-0.580937
-0.942375	-0.960250	-0.662188
-0.942375	-0.960250	-0.662188
-0.942375	-0.960250	-0.662188
-1.049688	-0.977313	-0.752687
-1.049688	-0.977313	-0.752687
-1.049688	-0.977313	-0.752687
-0.939500	-0.973000	-0.833625
-0.939500	-0.973000	-0.833625
-0.939500	-0.973000	-0.833625
-1.022875	-0.991250	-0.905500
-1.022875	-0.991250	-0.905500
-1.022875	-0.991250	-0.905500
-0.873625	-0.965562	-0.964187
-0.873625	-0.965562	-0.964187
-0.873625	-0.965562	-0.964187
-0.942250	-0.965562	-0.963313
-0.942250	-0.965562	-0.963313
-0.942250	-0.965562	-0.963313
-0.916312	-0.938875	-0.959313
-0.916312	-0.938875	-0.959313
-0.916312	-0.938875	-0.959313
-1.218000	-0.994563	-0.980875
-1.218000	-0.994563	-0.980875
-1.218000	-0.994563	-0.980875
-0.944250	-0.978875	-0.979688
-0.944250	-0.978875	-0.979688
-0.944250	-0.978875	-0.979688
-0.615812	-0.927312	-0.949250
-0.615812	-0.927312	-0.949250
-0.615812	-0.927312	-0.949250
-0.915562	-0.921937	-0.947688
-0.915562	-0.921937	-0.947688
-0.915562	-0.921937	-0.947688
-1.057937	-0.950313	-0.951688
-1.057937	-0.950313	-0.951688
-1.057937	-0.950313	-0.951688
-0.883188	-0.883312	-0.946625
-0.883188	-0.883312	-0.946625
-0.883188	-0.883312	-0.946625
-0.966000	-0.887687	-0.939875
-0.966000	-0.887687	-0.939875
-0.966000	-0.887687	-0.939875
-0.878500	-0.940187	-0.935750
-0.878500	-0.940187	-0.935750
-0.878500	-0.940187	-0.935750
-1.069313	-0.970938	-0.941125
-1.069313	-0.970938	-0.941125
-1.069313	-0.970938	-0.941125
-0.990688	-0.957500	-0.950500
-0.990688	-0.957500	-0.950500
-0.990688	-0.957500	-0.950500
-0.975812	-0.976063	-0.948625
-0.975812	-0.976063	-0.948625
-0.975812	-0.976063	-0.948625
-1.059000	-0.994625	-0.960438
-1.059000	-0.994625	-0.960438
-1.059000	-0.994625	-0.960438
-0.833812	-0.985688	-0.937688
-0.833812	-0.985688	-0.937688
-0.833812	-0.985688	-0.937688
-0.995375	-0.970938	-0.942625
-0.995375	-0.970938	-0.942625
-0.995375	-0.970938	-0.942625
-0.680813	-0.908937	-0.940625
-0.680813	-0.908937	-0.940625
-0.680813	-0.908937	-0.940625
-0.688375	-0.851437	-0.921562
-0.688375	-0.851437	-0.921562
-0.688375	-0.851437	-0.921562
-0.632812	-0.766188	-0.886500
-0.632812	-0.766188	-0.886500
-0.632812	-0.766188	-0.886500
-0.594063	-0.718250	-0.861688
-0.594063	-0.718250	-0.861688
-0.594063	-0.718250	-0.861688
-0.572313	-0.633625	-0.825937
-0.572313	-0.633625	-0.825937
-0.572313	-0.633625	-0.825937
-0.485312	-0.594562	-0.790125
-0.485312	-0.594562	-0.790125
-0.485312	-0.594562	-0.790125
-0.536563	-0.564187	-0.745812
-0.536563	-0.564187	-0.745812
-0.536563	-0.564187	-0.745812
-0.591063	-0.555813	-0.710187
-0.591063	-0.555813	-0.710187
-0.591063	-0.555813	-0.710187
-0.661125	-0.569250	-0.685500
-0.661125	-0.569250	-0.685500
-0.661125	-0.569250	-0.685500
